_kind,_metadata_name,_metadata_namespace,_metadata_labels_app,_metadata_labels_tier,_metadata_ownerReferences*_kind,_metadata_ownerReferences*_name,_status_phase,_status_hostIP,_status_podIP,_status_containerStatuses_image,_status_startTime
Pod,openshift-apiserver-operator-67fbc98b9d-l6dgt,openshift-apiserver-operator,openshift-apiserver-operator,,ReplicaSet,openshift-apiserver-operator-67fbc98b9d,Running,10.0.158.83,10.128.0.6,,2020-12-03T06:38:07Z
Pod,apiserver-68b8484ff6-6w6kb,openshift-apiserver,openshift-apiserver-a,,ReplicaSet,apiserver-68b8484ff6,Running,10.0.158.83,10.128.0.52,,2020-12-03T06:52:40Z
Pod,apiserver-68b8484ff6-fpvn6,openshift-apiserver,openshift-apiserver-a,,ReplicaSet,apiserver-68b8484ff6,Running,10.0.133.127,10.130.0.34,,2020-12-03T06:49:11Z
Pod,apiserver-68b8484ff6-mmg2c,openshift-apiserver,openshift-apiserver-a,,ReplicaSet,apiserver-68b8484ff6,Running,10.0.166.44,10.129.0.40,,2020-12-03T06:51:20Z
Pod,authentication-operator-7496b88c8b-gt2cf,openshift-authentication-operator,authentication-operator,,ReplicaSet,authentication-operator-7496b88c8b,Running,10.0.158.83,10.128.0.16,,2020-12-03T06:38:07Z
Pod,oauth-openshift-7f4cddd89f-7grcv,openshift-authentication,oauth-openshift,,ReplicaSet,oauth-openshift-7f4cddd89f,Running,10.0.166.44,10.129.0.29,,2020-12-03T06:48:17Z
Pod,oauth-openshift-7f4cddd89f-nmqn5,openshift-authentication,oauth-openshift,,ReplicaSet,oauth-openshift-7f4cddd89f,Running,10.0.133.127,10.130.0.29,,2020-12-03T06:48:23Z
Pod,cloud-credential-operator-6b67d7ccb9-g2m9r,openshift-cloud-credential-operator,cloud-credential-operator,,ReplicaSet,cloud-credential-operator-6b67d7ccb9,Running,10.0.158.83,10.128.0.19,,2020-12-03T06:38:07Z
Pod,pod-identity-webhook-687448df94-8z58m,openshift-cloud-credential-operator,pod-identity-webhook,,ReplicaSet,pod-identity-webhook-687448df94,Running,10.0.166.44,10.129.0.30,,2020-12-03T06:48:15Z
Pod,aws-ebs-csi-driver-controller-7c4b66dbd7-vjbkp,openshift-cluster-csi-drivers,aws-ebs-csi-driver-controller,,ReplicaSet,aws-ebs-csi-driver-controller-7c4b66dbd7,Running,10.0.133.127,10.0.133.127,,2020-12-03T06:38:46Z
Pod,aws-ebs-csi-driver-node-4d8z6,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.160.99,10.0.160.99,,2020-12-03T06:47:26Z
Pod,aws-ebs-csi-driver-node-7fdct,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.151.227,10.0.151.227,,2020-12-03T06:47:48Z
Pod,aws-ebs-csi-driver-node-dtw56,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.158.83,10.0.158.83,,2020-12-03T06:38:46Z
Pod,aws-ebs-csi-driver-node-lmvpr,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.128.37,10.0.128.37,,2020-12-03T06:47:18Z
Pod,aws-ebs-csi-driver-node-tdvqr,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.166.44,10.0.166.44,,2020-12-03T06:38:47Z
Pod,aws-ebs-csi-driver-node-wqlwl,openshift-cluster-csi-drivers,aws-ebs-csi-driver-node,,DaemonSet,aws-ebs-csi-driver-node,Running,10.0.133.127,10.0.133.127,,2020-12-03T06:38:46Z
Pod,aws-ebs-csi-driver-operator-749fdc8f65-w626f,openshift-cluster-csi-drivers,,,ReplicaSet,aws-ebs-csi-driver-operator-749fdc8f65,Running,10.0.133.127,10.130.0.2,,2020-12-03T06:38:36Z
Pod,machine-approver-bdd875948-w79q2,openshift-cluster-machine-approver,machine-approver,,ReplicaSet,machine-approver-bdd875948,Running,10.0.158.83,10.0.158.83,,2020-12-03T06:38:07Z
Pod,cluster-node-tuning-operator-7646bb5875-t67zb,openshift-cluster-node-tuning-operator,,,ReplicaSet,cluster-node-tuning-operator-7646bb5875,Running,10.0.158.83,10.128.0.10,,2020-12-03T06:38:07Z
Pod,tuned-7kt2f,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.166.44,10.0.166.44,,2020-12-03T06:38:30Z
Pod,tuned-c8wbg,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.133.127,10.0.133.127,,2020-12-03T06:38:30Z
Pod,tuned-qz7vz,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.128.37,10.0.128.37,,2020-12-03T06:47:18Z
Pod,tuned-rm782,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.151.227,10.0.151.227,,2020-12-03T06:47:47Z
Pod,tuned-tbf66,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.160.99,10.0.160.99,,2020-12-03T06:47:26Z
Pod,tuned-z6xp7,openshift-cluster-node-tuning-operator,,,DaemonSet,tuned,Running,10.0.158.83,10.0.158.83,,2020-12-03T06:38:30Z
Pod,cluster-samples-operator-78cb8f4bdf-qdcwp,openshift-cluster-samples-operator,,,ReplicaSet,cluster-samples-operator-78cb8f4bdf,Running,10.0.166.44,10.129.0.24,,2020-12-03T06:46:39Z
Pod,cluster-storage-operator-74f7767cc4-ljx5v,openshift-cluster-storage-operator,,,ReplicaSet,cluster-storage-operator-74f7767cc4,Running,10.0.158.83,10.128.0.4,,2020-12-03T06:38:07Z
Pod,csi-snapshot-controller-7488d4c979-wrm9t,openshift-cluster-storage-operator,csi-snapshot-controller,,ReplicaSet,csi-snapshot-controller-7488d4c979,Running,10.0.133.127,10.130.0.3,,2020-12-03T06:38:40Z
Pod,csi-snapshot-controller-operator-7689b57f45-bw7mz,openshift-cluster-storage-operator,csi-snapshot-controller-operator,,ReplicaSet,csi-snapshot-controller-operator-7689b57f45,Running,10.0.158.83,10.128.0.2,,2020-12-03T06:38:07Z
Pod,cluster-version-operator-56bf5997fd-kz7v2,openshift-cluster-version,,,ReplicaSet,cluster-version-operator-56bf5997fd,Running,10.0.166.44,10.0.166.44,,2020-12-03T07:18:37Z
Pod,openshift-config-operator-6bdcdddff-zzphd,openshift-config-operator,openshift-config-operator,,ReplicaSet,openshift-config-operator-6bdcdddff,Running,10.0.158.83,10.128.0.15,,2020-12-03T06:38:07Z
Pod,console-operator-78d99d4bfb-t97c5,openshift-console-operator,,,ReplicaSet,console-operator-78d99d4bfb,Running,10.0.166.44,10.129.0.23,,2020-12-03T06:46:42Z
Pod,console-64564d5b5c-6z8bh,openshift-console,console,,ReplicaSet,console-64564d5b5c,Running,10.0.133.127,10.130.0.33,,2020-12-03T06:49:08Z
Pod,console-64564d5b5c-tvh6n,openshift-console,console,,ReplicaSet,console-64564d5b5c,Running,10.0.158.83,10.128.0.53,,2020-12-03T06:53:20Z
Pod,downloads-756d9458cc-7m5wg,openshift-console,console,,ReplicaSet,downloads-756d9458cc,Running,10.0.166.44,10.129.0.22,,2020-12-03T06:46:42Z
Pod,downloads-756d9458cc-dsgtc,openshift-console,console,,ReplicaSet,downloads-756d9458cc,Running,10.0.133.127,10.130.0.27,,2020-12-03T06:46:42Z
Pod,openshift-controller-manager-operator-78984f4647-jhpm4,openshift-controller-manager-operator,openshift-controller-manager-operator,,ReplicaSet,openshift-controller-manager-operator-78984f4647,Running,10.0.158.83,10.128.0.3,,2020-12-03T06:38:07Z
Pod,controller-manager-t95km,openshift-controller-manager,openshift-controller-manager,,DaemonSet,controller-manager,Running,10.0.166.44,10.129.0.33,,2020-12-03T06:48:41Z
Pod,controller-manager-v69kz,openshift-controller-manager,openshift-controller-manager,,DaemonSet,controller-manager,Running,10.0.133.127,10.130.0.30,,2020-12-03T06:48:32Z
Pod,controller-manager-xfqhm,openshift-controller-manager,openshift-controller-manager,,DaemonSet,controller-manager,Running,10.0.158.83,10.128.0.46,,2020-12-03T06:48:40Z
Pod,dns-operator-79765bc64f-gsjcz,openshift-dns-operator,,,ReplicaSet,dns-operator-79765bc64f,Running,10.0.158.83,10.128.0.25,,2020-12-03T06:38:07Z
Pod,dns-default-7mr9f,openshift-dns,,,DaemonSet,dns-default,Running,10.0.128.37,10.131.0.2,,2020-12-03T06:47:18Z
Pod,dns-default-8wv6t,openshift-dns,,,DaemonSet,dns-default,Running,10.0.133.127,10.130.0.8,,2020-12-03T06:39:37Z
Pod,dns-default-9hnz8,openshift-dns,,,DaemonSet,dns-default,Running,10.0.158.83,10.128.0.27,,2020-12-03T06:39:37Z
Pod,dns-default-fhpfx,openshift-dns,,,DaemonSet,dns-default,Running,10.0.151.227,10.129.2.3,,2020-12-03T06:47:47Z
Pod,dns-default-tjhfb,openshift-dns,,,DaemonSet,dns-default,Running,10.0.160.99,10.128.2.2,,2020-12-03T06:47:26Z
Pod,dns-default-wlmv2,openshift-dns,,,DaemonSet,dns-default,Running,10.0.166.44,10.129.0.8,,2020-12-03T06:39:37Z
Pod,etcd-operator-758c4568cf-l6bs8,openshift-etcd-operator,etcd-operator,,ReplicaSet,etcd-operator-758c4568cf,Running,10.0.158.83,10.128.0.9,,2020-12-03T06:38:07Z
Pod,etcd-ip-10-0-133-127.ec2.internal,openshift-etcd,etcd,,Node,ip-10-0-133-127.ec2.internal,Running,10.0.133.127,10.0.133.127,,2020-12-03T06:40:26Z
